43,22,0,0
38,19,0,0
33,22,0,0
34,19,2,0
33,22,2,0
36,22,2,0
30,21,0,0
31,24,0,2
31,23,6,2
35,20,6,0
31,22,6,0
32,20,5,0
33,21,6,0
29,23,4,4
28,22,4,2
31,25,6,2
29,22,8,2
37,29,4,7
60,25,4,2
28,23,6,2
29,26,8,7
32,24,2,0
29,26,13,2
31,23,4,0
30,26,2,6
29,30,8,0
30,27,2,2
32,30,8,4
32,30,10,8
32,88,18,2
81,28,2,8
38,24,8,4
36,25,5,2
35,31,17,0
30,28,12,10
32,30,13,6
38,34,34,7
35,29,25,12
31,45,18,10
60,27,9,10
32,27,12,11
31,35,20,4
32,29,17,6
36,30,16,6
36,31,37,6
37,36,18,14
35,32,21,8
33,42,11,6
47,36,24,4
36,34,17,12
39,43,23,4
37,47,16,6
37,54,18,12
126,95,17,10
77,77,15,4
84,71,23,10
66,75,20,24
71,70,26,10
74,127,24,12
71,43,29,4
56,71,36,14
75,71,40,6
75,52,20,15
50,39,23,12
56,43,37,21
46,44,26,10
45,41,21,8
50,43,29,18
41,41,25,14
36,36,21,8
38,37,21,16
42,38,27,8
41,63,32,20
44,47,41,13
52,37,16,13
43,41,36,19
45,43,27,8
44,44,30,12
45,39,24,18
42,58,33,22
43,45,20,14
45,36,30,17
45,35,35,6
43,36,45,19
42,59,24,10
71,47,34,4
47,48,30,13
45,70,34,20
41,59,32,20
56,63,47,17
52,51,47,17
56,52,42,32
44,41,22,6
51,87,48,15
98,43,38,18
55,47,50,14
50,43,46,30
41,38,38,13
43,40,32,19
47,33,49,21
