292,290
921,518
1222,701
1711,953
2132,1150
2705,1368
3262,1550
3524,1716
3562,1685
3651,1873
4055,2157
4366,2075
5869,2624
5148,2353
5592,2966
5133,2352
5758,2464
5738,2589
6187,2979
6648,3142
6868,3004
7677,3618
8737,2922
6917,3440
7142,3101
7900,3756
8012,4199
8261,3517
10008,4839
9305,4358
9699,4035
9254,3983
9013,4171
9266,3752
9462,4281
9366,4475
9421,4263
9586,4322
9788,5367
9612,4314
11539,4915
10290,4071
10301,4590
10619,4998
11633,5239
11719,5140
11144,5134
11317,5077
11600,5256
11797,5165
12751,5956
12357,6045
12534,5974
12917,5647
13040,6516
13633,5991
13565,6187
14602,7508
15782,5884
14051,5680
14346,5933
14556,7086
14792,6938
15029,7108
15232,7444
15945,6923
16269,7373
16046,6806
16218,7073
16563,7739
16743,7633
17263,7479
17341,8073
17455,8762
17744,8441
18000,8382
18301,9336
19476,9687
19725,8894
20041,8334
19356,8082
19576,8400
20138,8782
20092,9174
20365,9999
20633,9656
21296,9038
21234,9454
21493,10127
21716,9872
22038,9902
22187,9032
22527,9493
22706,9565
23001,9687
23278,10444
23475,10665
23914,9928
24073,11790
24490,10321
