36,183
69,359
61,575
72,833
31,886
64,1110
62,1348
62,1381
61,1633
31,1779
62,2037
67,2221
62,2756
28,3853
118,2639
64,2722
207,3018
61,3057
28,3426
61,3471
61,3423
57,4015
74,3690
28,4269
57,4005
59,3741
58,4562
28,4333
59,4673
58,5291
59,4672
60,5399
27,5436
59,5284
152,7576
137,6955
63,7159
115,6623
64,6331
59,6767
64,6557
29,6137
64,6924
60,8043
65,6565
28,6960
70,6232
63,7489
58,8784
149,12624
33,11504
102,10600
91,8924
73,7630
56,8608
28,8752
61,8905
57,8690
267,8766
26,9220
59,9518
54,9609
76,9361
53,9088
23,9319
71,9230
141,8546
51,9128
40,7457
58,9096
52,9360
53,10268
50,10079
23,9304
52,8991
54,9732
49,10045
23,10345
55,10035
53,10191
50,10850
50,10298
21,11032
50,11109
51,11566
52,11008
49,11981
24,11917
80,11398
55,11931
152,13065
24,11531
95,12908
56,12612
52,12610
55,13590
23,13312
54,13778
51,14245
49,12285
